"stn_id","stn_name","date","PRCP","TAVG"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-05-28","0.0","18.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-05-29","0.0","20.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-05-30","0.0","23.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-05-31","0.0","25.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-01","3.3","25.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-02","0.0","21.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-03","0.0","22.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-04","0.0","27.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-05","0.0","26.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-06","0.0","25.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-07","0.0","29.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-08","0.0","29.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-09","0.0","25.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-10","0.0","20.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-11","0.0","22.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-12","0.0","23.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-13","3.0","14.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-14","0.0","18.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-15","0.0","22.6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-16","0.0","25.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-17","0.0","25.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-18","0.0","23.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-19","0.0","25.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-20","0.0","30.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-21","0.0","29.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-22","0.0","27.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-23","0.0","23.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-24","0.0","24.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-25","0.0","25.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-26","0.0","28.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-27","0.0","29.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-28","0.0","26.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-29","0.0","25.0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-06-30","0.0","23.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-01","0.0","25.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-02","0.0","28.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-03","0.0","30.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-04","0.0","30.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-05","0.0","32.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-06","0.0","31.5"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-07","0.0","31.3"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-08","0.0","32.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-09","0.0","31.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-10","0.0","30.8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-11","0.0","30.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-12","0.0","29.4"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-13","0.0","30.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-14","0.0","30.2"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-15","0.0","30.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-16","0.0","31.9"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-17","0.0","30.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-18","0.3","29.7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-19","0.0","32.1"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2017-07-20","0.0","28.9"
